"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13" "value"
"105" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE IQGAPS" "" "" "" "" "" "" "" 21
"106" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE FORMINS" "" "" "" "" "" "" "" 383
"107" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROMETAPHASE" "RESOLUTION OF SISTER CHROMATID COHESION" "" "" "" "" "" "" "" 341
"108" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "transcriptional regulation by runx3" "REGULATION OF RUNX3 EXPRESSION AND ACTIVITY" "" "" "" "" "" "" "" 107
"109" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX2" "REGULATION OF RUNX2 EXPRESSION AND ACTIVITY" "" "" "" "" "" "" "" 131
"110" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX1" "REGULATION OF RUNX1 EXPRESSION AND ACTIVITY" "" "" "" "" "" "" "" 17
"111" "IN REACTOME HIERARCHIE" "signal transduction" "mapk family signaling cascades" "mapk1 mapk3 signaling" "raf map kinase cascade" "REGULATION OF RAS BY GAPS" "" "" "" "" "" "" "" 64
"112" "IN REACTOME HIERARCHIE" "signal transduction" "intracellular signaling by second messengers" "pip3 activates akt signaling" "PTEN REGULATION" "REGULATION OF PTEN STABILITY AND ACTIVITY" "" "" "" "" "" "" "" 134
"113" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION" "" "" "" "" "" "" "" 168
"114" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "GLUCOSE METABOLISM" "GLYCOLYSIS" "REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN" "" "" "" "" "" "" "" 28
"115" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "SIGNALING BY ROBO RECEPTORS" "REGULATION OF EXPRESSION OF SLITS AND ROBOS" "" "" "" "" "" "" "" 619
"116" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "l1cam interactions" "RECYCLING PATHWAY OF L1" "" "" "" "" "" "" "" 36
"117" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROMETAPHASE" "RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES" "" "" "" "" "" "" "" 246
"118" "IN REACTOME HIERARCHIE" "DNA REPAIR" "BASE EXCISION REPAIR" "BASE EXCISION REPAIR AP SITE FORMATION" "depurination" "RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PURINE" "" "" "" "" "" "" "" 195
"119" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DOUBLE STRAND BREAK REPAIR" "HOMOLOGY DIRECTED REPAIR" "hdr through homologous recombination hrr or single strand annealing ssa" "PROCESSING OF DNA DOUBLE STRAND BREAK ENDS" "" "" "" "" "" "" "" 342
"120" "IN REACTOME HIERARCHIE" "DNA REPLICATION" "synthesis of dna" "DNA STRAND ELONGATION" "leading strand synthesis" "POLYMERASE SWITCHING" "" "" "" "" "" "" "" 14
"121" "IN REACTOME HIERARCHIE" "DNA REPLICATION" "synthesis of dna" "DNA STRAND ELONGATION" "LAGGING STRAND SYNTHESIS" "POLYMERASE SWITCHING" "" "" "" "" "" "" "" 14
"122" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "POLO LIKE KINASE MEDIATED EVENTS" "" "" "" "" "" "" "" 16
"123" "IN REACTOME HIERARCHIE" "DNA REPAIR" "BASE EXCISION REPAIR" "RESOLUTION OF ABASIC SITES AP SITES" "RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY" "PCNA DEPENDENT LONG PATCH BASE EXCISION REPAIR" "" "" "" "" "" "" "" 21
"124" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "NCAM SIGNALING FOR NEURITE OUT GROWTH" "NCAM1 INTERACTIONS" "" "" "" "" "" "" "" 30
"125" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY MET" "MET PROMOTES CELL MOTILITY" "MET ACTIVATES PTK2 SIGNALING" "" "" "" "" "" "" "" 54
"126" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "MASTL FACILITATES MITOTIC PROGRESSION" "" "" "" "" "" "" "" 10
"127" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "SIGNALING BY INTERLEUKINS" "interleukin 12 family signaling" "INTERLEUKIN 12 SIGNALING" "" "" "" "" "" "" "" 78
"128" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DOUBLE STRAND BREAK REPAIR" "HOMOLOGY DIRECTED REPAIR" "hdr through homologous recombination hrr or single strand annealing ssa" "HDR THROUGH SINGLE STRAND ANNEALING SSA" "" "" "" "" "" "" "" 37
"129" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DOUBLE STRAND BREAK REPAIR" "HOMOLOGY DIRECTED REPAIR" "hdr through homologous recombination hrr or single strand annealing ssa" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR" "" "" "" "" "" "" "" 66
"130" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "GOLGI CISTERNAE PERICENTRIOLAR STACK REORGANIZATION" "" "" "" "" "" "" "" 14
"131" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "metabolism of steroids" "metabolism of steroid hormones" "GLUCOCORTICOID BIOSYNTHESIS" "" "" "" "" "" "" "" 4
"132" "IN REACTOME HIERARCHIE" "cellular responses to stimuli" "cellular responses to stress" "CELLULAR SENESCENCE" "DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE" "FORMATION OF SENESCENCE ASSOCIATED HETEROCHROMATIN FOCI SAHF" "" "" "" "" "" "" "" 17
"133" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "signaling by fgfr" "signaling by fgfr2" "FGFR2 ALTERNATIVE SPLICING" "" "" "" "" "" "" "" 25
"134" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "eph ephrin signaling" "EPHA MEDIATED GROWTH CONE COLLAPSE" "" "" "" "" "" "" "" 22
"135" "IN REACTOME HIERARCHIE" "immune system" "INNATE IMMUNE SYSTEM" "C TYPE LECTIN RECEPTORS CLRS" "CLEC7A DECTIN 1 SIGNALING" "DECTIN 1 MEDIATED NONCANONICAL NF KB SIGNALING" "" "" "" "" "" "" "" 114
"136" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G1 PHASE AND G1 S TRANSITION" "g1 phase" "CYCLIN D ASSOCIATED EVENTS IN G1" "" "" "" "" "" "" "" 44
"137" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "CYCLIN A B1 B2 ASSOCIATED EVENTS DURING G2 M TRANSITION" "" "" "" "" "" "" "" 48
"138" "IN REACTOME HIERARCHIE" "immune system" "ADAPTIVE IMMUNE SYSTEM" "class i mhc mediated antigen processing & presentation" "antigen processing cross presentation" "CROSS PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS ENDOSOMES" "" "" "" "" "" "" "" 45
"139" "IN REACTOME HIERARCHIE" "VESICLE MEDIATED TRANSPORT" "membrane trafficking" "INTRA GOLGI AND RETROGRADE GOLGI TO ER TRAFFIC" "GOLGI TO ER RETROGRADE TRANSPORT" "COPI INDEPENDENT GOLGI TO ER RETROGRADE TRAFFIC" "" "" "" "" "" "" "" 78
"140" "IN REACTOME HIERARCHIE" "VESICLE MEDIATED TRANSPORT" "membrane trafficking" "INTRA GOLGI AND RETROGRADE GOLGI TO ER TRAFFIC" "GOLGI TO ER RETROGRADE TRANSPORT" "COPI DEPENDENT GOLGI TO ER RETROGRADE TRAFFIC" "" "" "" "" "" "" "" 168
"141" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "CONDENSATION OF PROPHASE CHROMOSOMES" "" "" "" "" "" "" "" 311
"142" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROMETAPHASE" "CONDENSATION OF PROMETAPHASE CHROMOSOMES" "" "" "" "" "" "" "" 22
"143" "IN REACTOME HIERARCHIE" "metabolism" "THE CITRIC ACID TCA CYCLE AND RESPIRATORY ELECTRON TRANSPORT" "respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins." "RESPIRATORY ELECTRON TRANSPORT" "COMPLEX I BIOGENESIS" "" "" "" "" "" "" "" 55
"144" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC TELOPHASE CYTOKINESIS" "COHESIN LOADING ONTO CHROMATIN" "" "" "" "" "" "" "" 10
"145" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "GPCR LIGAND BINDING" "class b 2 secretin family receptors" "CALCITONIN LIKE LIGAND RECEPTORS" "" "" "" "" "" "" "" 4
"146" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "AURKA ACTIVATION BY TPX2" "" "" "" "" "" "" "" 208
"147" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY WNT" "beta catenin independent wnt signaling" "pcp ce pathway" "ASYMMETRIC LOCALIZATION OF PCP PROTEINS" "" "" "" "" "" "" "" 62
"148" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS" "ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS" "" "" "" "" "" "" "" 27
"149" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "APC C CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1" "" "" "" "" "" "" "" 144
"150" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G1 PHASE AND G1 S TRANSITION" "g1 s transition" "ACTIVATION OF THE PRE REPLICATIVE COMPLEX" "" "" "" "" "" "" "" 96
"151" "IN REACTOME HIERARCHIE" "PROGRAMMED CELL DEATH" "APOPTOSIS" "intrinsic pathway for apoptosis" "activation of bh3 only proteins" "ACTIVATION OF NOXA AND TRANSLOCATION TO MITOCHONDRIA" "" "" "" "" "" "" "" 5
"152" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY NTRKS" "SIGNALING BY NTRK3 TRKC" "ACTIVATED NTRK3 SIGNALS THROUGH PI3K" "" "" "" "" "" "" "" 6
"153" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "glycosaminoglycan metabolism" "HEPARAN SULFATE HEPARIN HS GAG METABOLISM" "A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS" "" "" "" "" "" "" "" 22
"154" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "glycosaminoglycan metabolism" "CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM" "A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS" "" "" "" "" "" "" "" 22
"155" "IN REACTOME HIERARCHIE" "METABOLISM OF RNA" "PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA" "TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM" "TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS" "" "" "" "" "" "" "" "" 41
"156" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX1" "" "" "" "" "" "" "" "" 979
"157" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "SIGNALING BY ROBO RECEPTORS" "" "" "" "" "" "" "" "" 394
"158" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY NTRKS" "SIGNALING BY NTRK3 TRKC" "" "" "" "" "" "" "" "" 17
"159" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "" "" "" "" "" "" "" "" 1355
"160" "IN REACTOME HIERARCHIE" "DNA REPAIR" "BASE EXCISION REPAIR" "RESOLUTION OF ABASIC SITES AP SITES" "RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY" "" "" "" "" "" "" "" "" 24
"161" "IN REACTOME HIERARCHIE" "metabolism" "THE CITRIC ACID TCA CYCLE AND RESPIRATORY ELECTRON TRANSPORT" "PYRUVATE METABOLISM AND CITRIC ACID TCA CYCLE" "PYRUVATE METABOLISM" "" "" "" "" "" "" "" "" 26
"162" "IN REACTOME HIERARCHIE" "signal transduction" "intracellular signaling by second messengers" "pip3 activates akt signaling" "PTEN REGULATION" "" "" "" "" "" "" "" "" 269
"163" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "phospholipid metabolism" "PI METABOLISM" "" "" "" "" "" "" "" "" 72
"164" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROMETAPHASE" "" "" "" "" "" "" "" "" 562
"165" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "" "" "" "" "" "" "" "" 886
"166" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY MET" "MET PROMOTES CELL MOTILITY" "" "" "" "" "" "" "" "" 75
"167" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "SIGNALING BY INTERLEUKINS" "INTERLEUKIN 6 FAMILY SIGNALING" "" "" "" "" "" "" "" "" 21
"168" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "INTERFERON SIGNALING" "INTERFERON GAMMA SIGNALING" "" "" "" "" "" "" "" "" 172
"169" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "INTERFERON SIGNALING" "INTERFERON ALPHA BETA SIGNALING" "" "" "" "" "" "" "" "" 117
"170" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE CHECKPOINTS" "MITOTIC SPINDLE CHECKPOINT" "INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS" "" "" "" "" "" "" "" "" 42
"171" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "glycosaminoglycan metabolism" "HEPARAN SULFATE HEPARIN HS GAG METABOLISM" "" "" "" "" "" "" "" "" 42
"172" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "GLUCOSE METABOLISM" "GLYCOLYSIS" "" "" "" "" "" "" "" "" 122
"173" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE CHECKPOINTS" "G2 M CHECKPOINTS" "G2 M DNA DAMAGE CHECKPOINT" "" "" "" "" "" "" "" "" 332
"174" "IN REACTOME HIERARCHIE" "immune system" "ADAPTIVE IMMUNE SYSTEM" "SIGNALING BY THE B CELL RECEPTOR BCR" "DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR BCR" "" "" "" "" "" "" "" "" 150
"175" "IN REACTOME HIERARCHIE" "immune system" "INNATE IMMUNE SYSTEM" "antimicrobial peptides" "DEFENSINS" "" "" "" "" "" "" "" "" 5
"176" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "CYCLIN A CDK2 ASSOCIATED EVENTS AT S PHASE ENTRY" "" "" "" "" "" "" "" "" 246
"177" "IN REACTOME HIERARCHIE" "immune system" "INNATE IMMUNE SYSTEM" "C TYPE LECTIN RECEPTORS CLRS" "CLEC7A DECTIN 1 SIGNALING" "" "" "" "" "" "" "" "" 183
"178" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of carbohydrates" "glycosaminoglycan metabolism" "CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM" "" "" "" "" "" "" "" "" 42
"179" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "INTERFERON SIGNALING" "ANTIVIRAL MECHANISM BY IFN STIMULATED GENES" "" "" "" "" "" "" "" "" 70
"180" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "" "" "" "" "" "" "" "" "" 336
"181" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY MET" "" "" "" "" "" "" "" "" "" 218
"182" "IN REACTOME HIERARCHIE" "AUTOPHAGY" "macroautophagy" "SELECTIVE AUTOPHAGY" "" "" "" "" "" "" "" "" "" 134
"183" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "" "" "" "" "" "" "" "" "" 631
"184" "IN REACTOME HIERARCHIE" "DNA REPAIR" "BASE EXCISION REPAIR" "RESOLUTION OF ABASIC SITES AP SITES" "" "" "" "" "" "" "" "" "" 36
"185" "IN REACTOME HIERARCHIE" "metabolism" "INTEGRATION OF ENERGY METABOLISM" "REGULATION OF INSULIN SECRETION" "" "" "" "" "" "" "" "" "" 55
"186" "IN REACTOME HIERARCHIE" "HEMOSTASIS" "PLATELET ACTIVATION SIGNALING AND AGGREGATION" "PLATELET AGGREGATION PLUG FORMATION" "" "" "" "" "" "" "" "" "" 27
"187" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "O LINKED GLYCOSYLATION" "" "" "" "" "" "" "" "" "" 73
"188" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE CHECKPOINTS" "MITOTIC SPINDLE CHECKPOINT" "" "" "" "" "" "" "" "" "" 325
"189" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "GPCR LIGAND BINDING" "" "" "" "" "" "" "" "" "" 137
"190" "IN REACTOME HIERARCHIE" "metabolism of proteins" "TRANSLATION" "EUKARYOTIC TRANSLATION INITIATION" "" "" "" "" "" "" "" "" "" 565
"191" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY NUCLEAR RECEPTORS" "ESR MEDIATED SIGNALING" "" "" "" "" "" "" "" "" "" 709
"192" "IN REACTOME HIERARCHIE" "cellular responses to stimuli" "cellular responses to stress" "CELLULAR RESPONSE TO HEAT STRESS" "" "" "" "" "" "" "" "" "" 188
"193" "IN REACTOME HIERARCHIE" "DNA REPAIR" "BASE EXCISION REPAIR" "BASE EXCISION REPAIR AP SITE FORMATION" "" "" "" "" "" "" "" "" "" 182
"194" "IN REACTOME HIERARCHIE" "PROGRAMMED CELL DEATH" "APOPTOSIS" "APOPTOTIC EXECUTION PHASE" "" "" "" "" "" "" "" "" "" 132
"195" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "" "" "" "" "" "" "" "" "" "" 310
"196" "IN REACTOME HIERARCHIE" "metabolism" "THE CITRIC ACID TCA CYCLE AND RESPIRATORY ELECTRON TRANSPORT" "" "" "" "" "" "" "" "" "" "" 327
"197" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY WNT" "" "" "" "" "" "" "" "" "" "" 806
"198" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "" "" "" "" "" "" "" "" "" "" 2489
"199" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY NOTCH" "" "" "" "" "" "" "" "" "" "" 824
"200" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "" "" "" "" "" "" "" "" "" "" 318
"201" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "" "" "" "" "" "" "" "" "" "" 2042
"202" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "POTASSIUM CHANNELS" "" "" "" "" "" "" "" "" "" "" 48
"203" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "" "" "" "" "" "" "" "" "" "" 495
"204" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF AMINO ACIDS AND DERIVATIVES" "" "" "" "" "" "" "" "" "" "" 864
"205" "IN REACTOME HIERARCHIE" "immune system" "ADAPTIVE IMMUNE SYSTEM" "" "" "" "" "" "" "" "" "" "" 579
"206" "IN REACTOME HIERARCHIE" "PROGRAMMED CELL DEATH" "" "" "" "" "" "" "" "" "" "" "" 362
"207" "IN REACTOME HIERARCHIE" "DNA REPLICATION" "synthesis of dna" "DNA STRAND ELONGATION" "UNWINDING OF DNA" "" "" "" "" "" "" "" "" 24
"208" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "DEUBIQUITINATION" "UCH PROTEINASES" "" "" "" "" "" "" "" "" 286
"209" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "DEUBIQUITINATION" "UB SPECIFIC PROCESSING PROTEASES" "" "" "" "" "" "" "" "" 537
"210" "IN REACTOME HIERARCHIE" "TRANSPORT OF SMALL MOLECULES" "ION CHANNEL TRANSPORT" "STIMULI SENSING CHANNELS" "TRP CHANNELS" "" "" "" "" "" "" "" "" 18
"211" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DAMAGE BYPASS" "TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE" "TRANSLESION SYNTHESIS BY POLK" "" "" "" "" "" "" "" "" 17
"212" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DAMAGE BYPASS" "TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE" "TRANSLESION SYNTHESIS BY POLH" "" "" "" "" "" "" "" "" 19
"213" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY E2F6" "" "" "" "" "" "" "" "" 68
"214" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of vitamins and cofactors" "metabolism of cofactors" "TETRAHYDROBIOPTERIN BH4 SYNTHESIS RECYCLING SALVAGE AND REGULATION" "" "" "" "" "" "" "" "" 7
"215" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DAMAGE BYPASS" "TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE" "TERMINATION OF TRANSLESION DNA SYNTHESIS" "" "" "" "" "" "" "" "" 32
"216" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "biosynthesis of specialized proresolving mediators spms" "SYNTHESIS OF LIPOXINS LX" "" "" "" "" "" "" "" "" 6
"217" "IN REACTOME HIERARCHIE" "gene expression transcription" "EPIGENETIC REGULATION OF GENE EXPRESSION" "NEGATIVE EPIGENETIC REGULATION OF RRNA EXPRESSION" "SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION" "" "" "" "" "" "" "" "" 280
"218" "IN REACTOME HIERARCHIE" "cellular responses to stimuli" "cellular responses to stress" "CELLULAR SENESCENCE" "SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP" "" "" "" "" "" "" "" "" 516
"219" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE I TRANSCRIPTION" "rna polymerase i promoter clearance" "RNA POLYMERASE I TRANSCRIPTION INITIATION" "" "" "" "" "" "" "" "" 45
"220" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE I TRANSCRIPTION" "rna polymerase i promoter clearance" "RNA POLYMERASE I PROMOTER ESCAPE" "" "" "" "" "" "" "" "" 406
"221" "IN REACTOME HIERARCHIE" "metabolism" "THE CITRIC ACID TCA CYCLE AND RESPIRATORY ELECTRON TRANSPORT" "respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins." "RESPIRATORY ELECTRON TRANSPORT" "" "" "" "" "" "" "" "" 196
"222" "IN REACTOME HIERARCHIE" "cellular responses to stimuli" "cellular responses to stress" "CELLULAR RESPONSE TO HEAT STRESS" "REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE" "" "" "" "" "" "" "" "" 150
"223" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY NUCLEAR RECEPTORS" "SIGNALING BY RETINOIC ACID" "RA BIOSYNTHESIS PATHWAY" "" "" "" "" "" "" "" "" 13
"224" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of nucleotides" "nucleotide biosynthesis" "PURINE RIBONUCLEOSIDE MONOPHOSPHATE BIOSYNTHESIS" "" "" "" "" "" "" "" "" 12
"225" "IN REACTOME HIERARCHIE" "signal transduction" "signaling by non receptor tyrosine kinases" "signaling by ptk6" "PTK6 REGULATES CELL CYCLE" "" "" "" "" "" "" "" "" 5
"226" "IN REACTOME HIERARCHIE" "metabolism" "metabolism of nucleotides" "nucleotide catabolism" "PHOSPHATE BOND HYDROLYSIS BY NTPDASE PROTEINS" "" "" "" "" "" "" "" "" 5
