"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio" "enriched_terms" "CellType" "age"
"cluster_5" "GO:MF" "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.00047583127477936 102 5 27 13399 0.0490196078431373 0.00201507575192179 "ligase activity, forming carbon-nitrogen bonds" "sCs" "Young"
"cluster_5" "GO:MF" "GO:0003824" "catalytic activity" 0.00332620813959525 102 54 4320 13399 0.529411764705882 0.322412120307486 "catalytic activity" "sCs" "Young"
"cluster_5" "GO:MF" "GO:0016874" "ligase activity" 0.00460344780368848 102 7 106 13399 0.0686274509803922 0.00791103813717442 "ligase activity" "sCs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-69278" "Cell Cycle, Mitotic" 0.00854781604111923 86 16 500 8631 0.186046511627907 0.0579307148650214 "Cell Cycle, Mitotic" "sCs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-191859" "snRNP Assembly" 0.0264764201436592 86 5 46 8631 0.0581395348837209 0.00532962576758197 "snRNP Assembly" "sCs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-194441" "Metabolism of non-coding RNA" 0.0264764201436592 86 5 46 8631 0.0581395348837209 0.00532962576758197 "Metabolism of non-coding RNA" "sCs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-1640170" "Cell Cycle" 0.0472391469109048 86 16 577 8631 0.186046511627907 0.0668520449542347 "Cell Cycle" "sCs" "Young"
"cluster_6" "GO:BP" "GO:0022402" "cell cycle process" 1.93785308103516e-22 189 30 141 11240 0.158730158730159 0.0125444839857651 "cell cycle process" "sCs" "Young"
"cluster_6" "GO:BP" "GO:0007049" "cell cycle" 3.78658901639939e-22 189 34 202 11240 0.17989417989418 0.0179715302491103 "cell cycle" "sCs" "Young"
"cluster_6" "GO:BP" "GO:1903047" "mitotic cell cycle process" 7.1534688252801e-21 189 22 65 11240 0.116402116402116 0.00578291814946619 "mitotic cell cycle process" "sCs" "Young"
"cluster_6" "GO:BP" "GO:0000278" "mitotic cell cycle" 4.91307879896783e-20 189 23 80 11240 0.121693121693122 0.00711743772241993 "mitotic cell cycle" "sCs" "Young"
"cluster_6" "GO:BP" "GO:0007059" "chromosome segregation" 1.20389212871612e-16 189 18 54 11240 0.0952380952380952 0.00480427046263345 "chromosome segregation" "sCs" "Young"
"cluster_6" "GO:MF" "GO:0046982" "protein heterodimerization activity" 2.02280319931671e-17 204 24 128 13399 0.117647058823529 0.00955295171281439 "protein heterodimerization activity" "sCs" "Young"
"cluster_6" "GO:MF" "GO:0003677" "DNA binding" 1.05996788729645e-12 204 50 957 13399 0.245098039215686 0.0714232405403388 "DNA binding" "sCs" "Young"
"cluster_6" "GO:MF" "GO:0046983" "protein dimerization activity" 9.87494546481603e-12 204 27 292 13399 0.132352941176471 0.0217926710948578 "protein dimerization activity" "sCs" "Young"
"cluster_6" "GO:MF" "GO:1901363" "heterocyclic compound binding" 4.90673504099284e-11 204 99 3347 13399 0.485294117647059 0.249794760803045 "heterocyclic compound binding" "sCs" "Young"
"cluster_6" "GO:MF" "GO:0097159" "organic cyclic compound binding" 5.52227960417828e-11 204 99 3353 13399 0.485294117647059 0.250242555414583 "organic cyclic compound binding" "sCs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-1640170" "Cell Cycle" 1.1967917798533e-50 188 87 577 8631 0.462765957446808 0.0668520449542347 "Cell Cycle" "sCs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-69278" "Cell Cycle, Mitotic" 2.08520283655815e-44 188 77 500 8631 0.409574468085106 0.0579307148650214 "Cell Cycle, Mitotic" "sCs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-69620" "Cell Cycle Checkpoints" 1.20597432780214e-31 188 51 275 8631 0.271276595744681 0.0318618931757618 "Cell Cycle Checkpoints" "sCs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-68886" "M Phase" 2.59986953807052e-30 188 57 385 8631 0.303191489361702 0.0446066504460665 "M Phase" "sCs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-73886" "Chromosome Maintenance" 1.5179153604014e-24 188 33 127 8631 0.175531914893617 0.0147144015757154 "Chromosome Maintenance" "sCs" "Young"
